"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"41837.9778317";"Valor da carga calculada do motor";"26.666666666666668";"%";"-22.58917245";"-43.28551034";
"41838.0243096";"Altitude (GPS)";"18.052001953125";"m";"-22.5891818";"-43.28559858";
"41838.0243096";"Velocidade (GPS)";"26.747999382019042";"km/h";"-22.5891818";"-43.28559858";
"41838.0243096";"Velocidade média (GPS)";"22.32656996741539";"km/h";"-22.5891818";"-43.28559858";
"41838.0295375";"Temperatura do líquido de 
arrefecimento do motor";"83";"℃";"-22.5891818";"-43.28559858";
"41838.0952197";"Ajuste de combustível % a curto 
prazo - Banco 1";"-2.34375";"%";"-22.5891818";"-43.28559858";
"41838.1465434";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.5891818";"-43.28559858";
"41838.197823";"Voltagem do modulo OBD";"13.9";"V";"-22.5891818";"-43.28559858";
"41838.3498126";"Valor da carga calculada do motor";"27.84313725490196";"%";"-22.5891818";"-43.28559858";
"41838.4027736";"Ajuste de combustível % a curto 
prazo - Banco 1";"-4.6875";"%";"-22.5891818";"-43.28559858";
"41838.4667013";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.5891818";"-43.28559858";
"41838.5193307";"Voltagem do modulo OBD";"13.9";"V";"-22.5891818";"-43.28559858";
"41838.6874699";"Valor da carga calculada do motor";"20.392156862745097";"%";"-22.5891818";"-43.28559858";
"41838.7440406";"Temperatura do líquido de 
arrefecimento do motor";"83";"℃";"-22.5891818";"-43.28559858";
"41838.7958825";"Ajuste de combustível % a curto 
prazo - Banco 1";"3.125";"%";"-22.5891818";"-43.28559858";
"41838.8522154";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.5891818";"-43.28559858";
"41838.9158231";"Voltagem do modulo OBD";"14";"V";"-22.5891818";"-43.28559858";
"41839.0842671";"Valor da carga calculada do motor";"14.901960784313726";"%";"-22.5891818";"-43.28559858";
"41839.1415179";"Ajuste de combustível % a curto 
prazo - Banco 1";"4.6875";"%";"-22.5891818";"-43.28559858";
"41839.1957152";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.5891818";"-43.28559858";
"41839.2540139";"Voltagem do modulo OBD";"13.9";"V";"-22.5891818";"-43.28559858";
"41839.2540554";"Altitude (GPS)";"19.4212646484375";"m";"-22.58918743";"-43.2856976";
"41839.2540554";"Velocidade (GPS)";"27.719999313354492";"km/h";"-22.58918743";"-43.2856976";
"41839.2540554";"Velocidade média (GPS)";"23.21696743891944";"km/h";"-22.58918743";"-43.2856976";
"41839.4267664";"Valor da carga calculada do motor";"15.294117647058824";"%";"-22.58918743";"-43.2856976";
"41839.4787227";"Temperatura do líquido de 
arrefecimento do motor";"83";"℃";"-22.58918743";"-43.2856976";
"41839.5297617";"Ajuste de combustível % a curto 
prazo - Banco 1";"2.34375";"%";"-22.58918743";"-43.2856976";
"41839.5868295";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58918743";"-43.2856976";
"41839.6515341";"Voltagem do modulo OBD";"13.9";"V";"-22.58918743";"-43.2856976";
"41839.8204706";"Valor da carga calculada do motor";"27.058823529411764";"%";"-22.58918743";"-43.2856976";
"41839.8747384";"Ajuste de combustível % a curto 
prazo - Banco 1";"-0.78125";"%";"-22.58918743";"-43.2856976";
"41839.9398612";"Ajuste de combustível % a longo 
prazo - Banco 1";"0";"%";"-22.58918743";"-43.2856976";
